property_id,lat,lng,addr_street,suburb,number_of_houses,number_of_units,municipality,population,aus_born_perc,median_income,median_house_price,lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag
58214,-37.824967,145.150924,57 Gardenia Street,BLACKBURN,4821.0,2501.0,Whitehorse,27564.0,75%,"$1,387","$1,485,900",GREATER GEELONG,19898,0.550885,26.0,1
32861,-37.753222,145.02057,5 Albert Street,PRESTON,11418.0,7672.0,Darebin,27067.0,63%,"$1,155","$1,075,700",BOROONDARA,20014,1.946823,31.0,1
34868,-37.699652,145.021445,4 Elizabeth Court,RESERVOIR,16913.0,8713.0,Darebin,45591.0,63%,$972,"$861,800",EAST GIPPSLAND,20008,0.996274,44.0,1
42966,-37.720815,145.080736,20 Cooley Avenue,MACLEOD,3511.0,1718.0,Banyule,12063.0,79%,"$1,458","$1,123,400",WANGARATTA,19984,1.129802,42.0,1
7115,-37.792627,144.843352,9 Walter Street,SUNSHINE,4031.0,1779.0,Brimbank,30677.0,52%,$929,"$883,700",KNOX,20021,1.027752,20.0,1
24182,-37.700892,144.974894,22 Denys Street,FAWKNER,4754.0,1266.0,Moreland,12899.0,53%,$865,"$745,500",MONASH,19961,1.411146,30.0,1
35064,-37.707809,145.019651,5 Borrie Street,RESERVOIR,16913.0,8713.0,Darebin,45591.0,63%,$972,"$861,800",EAST GIPPSLAND,20009,0.892563,41.0,1
28682,-37.806586,144.983868,7 Langridge Street,COLLINGWOOD,2122.0,4470.0,Yarra,5113.0,60%,"$1,278","$1,275,000",MOONEE VALLEY,19977,0.869749,15.0,1
43618,-37.71318436,145.0911255,24 Cooinda Crescent,WATSONIA,2191.0,614.0,Banyule,8932.0,82%,"$1,300","$879,500",MANNINGHAM,19984,0.691614,42.0,1
69151,-37.850143,145.034874,40 Somers Avenue,MALVERN,3622.0,3241.0,Stonnington,10201.0,78%,"$2,047","$2,337,300",BAW BAW,19911,0.609141,no direct trip is available,0
28167,-37.799845,144.977361,20 Greeves Street,FITZROY,3147.0,5530.0,Yarra,9007.0,63%,"$1,483","$1,568,000",NILLUMBIK,19843,1.307704,2.0,1
